image;mean_delta2;std_delta2
AC0845_L.jpg;16763.189453;23826.699219
AC0845_M.jpg;15830.669922;21583.582031
AC0840_L.jpg;15616.476562;22994.878906
AC0845_S.jpg;14986.160156;20466.046875
AC0840_M.jpg;14485.500000;20967.511719
AC0850_L.jpg;14193.690430;22086.769531
AC0840_S.jpg;13773.946289;19788.419922
AC0850_M.jpg;13188.389648;20630.560547
AC0850_S.jpg;12401.799805;19499.558594
AC0847_M.jpg;11571.346680;20682.703125
AC0849_M.jpg;11415.925781;21056.722656
AC0844_M.jpg;11296.898438;20189.349609
AC0846_M.jpg;11134.054688;19539.109375
AR0101.jpg;11093.759766;20991.228516
AC0844_S.jpg;10948.631836;18862.289062
AC0847_S.jpg;10938.664062;19219.556641
AC0846_S.jpg;10911.112305;18555.257812
AC0848_M.jpg;10858.645508;20017.521484
AC0849_L.jpg;10839.167969;20776.369141
AC0847_L.jpg;10827.597656;20796.375000
AC0846_L.jpg;10816.413086;20516.029297
AC0844_L.jpg;10768.916992;20579.072266
AR0103.jpg;10744.987305;20536.974609
AC0842_M.jpg;10671.728516;20472.474609
AR0102.jpg;10617.143555;20281.416016
SE0110.jpg;10576.440430;18769.349609
AC0841_S.jpg;10513.175781;19009.906250
AC0849_S.jpg;10446.175781;18446.921875
AC0848_L.jpg;10367.298828;19966.064453
AC0864_M.jpg;10331.477539;19310.617188
AC0841_M.jpg;10262.065430;19142.892578
AC0864_S.jpg;10184.223633;18708.072266
AC0848_S.jpg;10161.423828;18159.417969
AC0864_L.jpg;10153.493164;19916.283203
AC0843_M.jpg;10068.094727;18858.833984
AC0842_L.jpg;9841.301758;19298.917969
AC0861_M.jpg;9790.019531;18826.517578
AC0841_L.jpg;9753.178711;19016.265625
AC0842_S.jpg;9669.912109;17834.658203
AC0884_M.jpg;9626.944336;19248.521484
AC0843_L.jpg;9455.280273;18343.132812
AC0861_S.jpg;9393.295898;17519.533203
AC0862_M.jpg;9329.528320;18506.226562
AC0861_L.jpg;9266.631836;18775.070312
AC0863_M.jpg;9243.038086;17859.503906
AC0862_S.jpg;9187.912109;17624.996094
AC0863_L.jpg;9167.719727;18713.238281
AC0839_S.jpg;9147.440430;16284.201172
SE0111.jpg;9138.457031;19096.320312
AC0862_L.jpg;9117.018555;18826.824219
AC0884_L.jpg;9006.471680;18818.005859
AC0837_S.jpg;8957.984375;16456.408203
AC0884_S.jpg;8932.055664;17967.978516
AC0833_M.jpg;8898.891602;17490.201172
AC0843_S.jpg;8856.679688;16043.775391
AC0837_L.jpg;8850.258789;17983.191406
SE0113.jpg;8728.487305;17983.298828
SE0112.jpg;8721.867188;18079.296875
AC0836_L.jpg;8703.915039;17437.103516
AC0836_M.jpg;8599.204102;16736.121094
SE0123.jpg;8548.118164;18103.783203
SE0114.jpg;8517.240234;17910.699219
AC0831_L.jpg;8485.530273;17674.375000
AC0839_L.jpg;8406.170898;17621.917969
AC0834_L.jpg;8125.181152;16817.175781
AC0863_S.jpg;7995.728027;14944.284180
SE0122.jpg;7991.643066;17691.371094
AC0832_S.jpg;7988.312012;14864.258789
SE0102.jpg;7955.393555;16859.734375
AC0833_L.jpg;7933.194824;17139.091797
AC0883_M.jpg;7931.022949;16486.947266
SE0124.jpg;7850.262207;16987.433594
AC0883_L.jpg;7701.157227;16424.484375
SE0121.jpg;7636.187500;16854.488281
SE0101.jpg;7618.952148;16309.221680
SE0103.jpg;7553.868652;16072.648438
SE0104.jpg;7446.828125;15771.653320
AC0883_S.jpg;7055.671875;13819.746094
SE0013.jpg;6985.983887;16104.535156
AC0870_S.jpg;6684.213379;13960.684570
SE0012.jpg;6568.810547;14864.582031
SE0011.jpg;6057.019531;14321.292969
AC0835_L.jpg;5849.140625;13493.191406
AC0882_L.jpg;5530.191895;13489.634766
AC0820_L.jpg;5228.490234;14458.473633
AC0831_M.jpg;5101.722656;12665.168945
AC0881_S.jpg;4892.408203;10903.929688
AC0835_S.jpg;4789.506836;11232.163086
AC0835_M.jpg;4709.609863;12480.234375
AC0814_S.jpg;4200.496094;10603.995117
AC0820_M.jpg;4198.814941;11345.309570
AC0838_L.jpg;3788.045410;11299.859375
AC0838_S.jpg;3769.152100;9722.691406
AC0836_S.jpg;3677.488037;9682.270508
AC0838_M.jpg;3606.214355;10709.719727
AC0882_S.jpg;3539.367920;10119.541016
AC0820_S.jpg;3513.666748;6969.001465
AC0837_M.jpg;3508.971436;10108.883789
AC0839_M.jpg;3461.331543;10588.238281
AC0832_L.jpg;3233.135986;9621.767578
AC0833_S.jpg;2986.511963;6453.318359
AC0832_M.jpg;2845.452881;8267.765625
AC0834_M.jpg;2813.588623;9201.871094
AC0870_M.jpg;2664.344971;5130.113281
AC0831_S.jpg;2623.399902;6957.914062
AC0834_S.jpg;2539.280029;7533.224121
AC0870_L.jpg;2492.376709;6184.826172
AC0813_S.jpg;2463.968018;8311.029297
AC0882_M.jpg;2279.370117;8916.861328
AC0881_L.jpg;2252.629395;7827.333008
AC0811_S.jpg;2245.904053;7734.056641
AR0100.jpg;2129.385498;6187.360840
AC0800_S.jpg;914.479980;1704.779907
AC0813_L.jpg;895.666687;3044.831055
AC0812_L.jpg;888.946655;3003.058838
AC0814_L.jpg;847.176025;2814.845215
AC0812_S.jpg;699.015991;1616.392456
AC0881_M.jpg;572.802856;1523.720703
AC0811_L.jpg;536.512024;2424.302490
AC0813_M.jpg;491.228577;2269.581055
AC0812_M.jpg;481.294281;2261.590088
AC0814_M.jpg;469.350006;2250.587891
AC0800_L.jpg;428.233337;1055.473145
AC0811_M.jpg;52.975716;173.511154
AC0800_M.jpg;51.494999;146.155060
